id_pago,id_reserva,fecha_pago,monto,metodo_pago
1,19339,2025-05-24 10:37:42,256.87,Efectivo
2,34033,2025-05-24 10:42:32,816.23,PayPal
3,15058,2025-05-24 10:47:02,769.69,Tarjeta
4,35655,2025-05-24 10:42:07,327.24,Efectivo
5,13346,2025-05-24 10:36:29,498.38,Efectivo
6,23875,2025-05-24 10:42:39,802.77,Efectivo
7,5347,2025-05-24 10:37:43,516.25,Tarjeta
8,7841,2025-05-24 10:35:52,304.19,PayPal
9,15061,2025-05-24 10:43:28,305.46,Efectivo
10,24421,2025-05-24 10:38:04,631.23,Transferencia
11,44363,2025-05-24 10:36:43,319.12,Tarjeta
12,1614,2025-05-24 10:40:46,602.30,Tarjeta
13,1366,2025-05-24 10:42:50,370.11,Transferencia
14,17413,2025-05-24 10:41:08,534.82,Efectivo
15,17976,2025-05-24 10:38:39,838.03,Tarjeta
16,32624,2025-05-24 10:35:50,454.50,Efectivo
17,29810,2025-05-24 10:36:45,617.20,PayPal
18,19795,2025-05-24 10:46:15,265.01,PayPal
19,37641,2025-05-24 10:45:28,346.17,Transferencia
20,30742,2025-05-24 10:37:29,284.03,PayPal
21,22381,2025-05-24 10:40:40,218.29,Transferencia
22,31471,2025-05-24 10:46:35,885.38,Transferencia
23,18572,2025-05-24 10:43:37,468.01,Tarjeta
24,28569,2025-05-24 10:37:01,877.31,PayPal
25,3818,2025-05-24 10:35:55,591.46,Transferencia
26,11355,2025-05-24 10:40:23,532.79,Efectivo
27,41681,2025-05-24 10:39:51,608.67,Efectivo
28,38284,2025-05-24 10:36:28,201.98,Efectivo
29,44536,2025-05-24 10:44:40,610.64,PayPal
30,24606,2025-05-24 10:38:44,330.60,PayPal
31,16144,2025-05-24 10:36:59,691.68,Transferencia
32,21698,2025-05-24 10:38:39,777.68,Transferencia
33,5234,2025-05-24 10:39:56,457.06,PayPal
34,44031,2025-05-24 10:46:10,799.45,Tarjeta
35,24701,2025-05-24 10:41:39,487.70,Efectivo
36,31191,2025-05-24 10:39:43,265.92,PayPal
37,9224,2025-05-24 10:45:31,374.31,Efectivo
38,26003,2025-05-24 10:43:16,611.74,Tarjeta
39,12770,2025-05-24 10:38:56,314.49,Tarjeta
40,7773,2025-05-24 10:42:51,376.76,Efectivo
41,21137,2025-05-24 10:41:33,229.43,Transferencia
42,34797,2025-05-24 10:41:46,340.73,Efectivo
43,1385,2025-05-24 10:44:27,557.66,Transferencia
44,41711,2025-05-24 10:36:48,756.14,PayPal
45,13040,2025-05-24 10:39:34,773.88,Transferencia
46,37843,2025-05-24 10:38:00,873.46,PayPal
47,11492,2025-05-24 10:44:12,731.36,Efectivo
48,19061,2025-05-24 10:39:15,371.04,Efectivo
49,18184,2025-05-24 10:47:18,873.05,PayPal
50,950,2025-05-24 10:42:07,716.92,Efectivo
51,1866,2025-05-24 10:45:35,649.71,Transferencia
52,36214,2025-05-24 10:38:19,894.07,Tarjeta
53,10710,2025-05-24 10:36:23,284.40,Tarjeta
54,10951,2025-05-24 10:39:42,779.48,Tarjeta
55,40196,2025-05-24 10:37:58,334.03,PayPal
56,22381,2025-05-24 10:41:45,253.97,Tarjeta
57,42915,2025-05-24 10:37:47,362.39,Tarjeta
58,36602,2025-05-24 10:40:33,869.44,Efectivo
59,37864,2025-05-24 10:44:57,506.65,Tarjeta
60,13127,2025-05-24 10:40:18,715.42,Transferencia
61,25528,2025-05-24 10:41:19,771.28,Transferencia
62,13234,2025-05-24 10:40:42,609.71,Tarjeta
63,29815,2025-05-24 10:43:42,668.55,PayPal
64,12426,2025-05-24 10:43:17,345.99,Tarjeta
65,1471,2025-05-24 10:42:57,415.50,Efectivo
66,27307,2025-05-24 10:45:20,670.93,Efectivo
67,10843,2025-05-24 10:47:21,325.09,Tarjeta
68,9561,2025-05-24 10:35:53,535.05,PayPal
69,7417,2025-05-24 10:40:34,814.92,Efectivo
70,10784,2025-05-24 10:42:08,293.46,Efectivo
71,6919,2025-05-24 10:40:00,452.94,Transferencia
72,116,2025-05-24 10:38:57,363.67,Transferencia
73,20001,2025-05-24 10:40:02,794.27,Efectivo
74,32634,2025-05-24 10:44:01,411.46,Tarjeta
75,11135,2025-05-24 10:36:45,623.54,Efectivo
76,2743,2025-05-24 10:47:27,641.53,Tarjeta
77,4316,2025-05-24 10:42:05,652.33,Efectivo
78,40656,2025-05-24 10:45:45,792.64,Tarjeta
79,26680,2025-05-24 10:39:43,798.05,Tarjeta
80,11491,2025-05-24 10:43:36,512.54,PayPal
81,7463,2025-05-24 10:35:37,670.55,PayPal
82,43650,2025-05-24 10:37:52,594.04,PayPal
83,19706,2025-05-24 10:45:18,484.35,Transferencia
84,41708,2025-05-24 10:36:48,297.32,Transferencia
85,22013,2025-05-24 10:40:33,367.51,PayPal
86,34482,2025-05-24 10:37:39,625.81,Tarjeta
87,6676,2025-05-24 10:44:38,617.98,Efectivo
88,39821,2025-05-24 10:42:38,625.71,Efectivo
89,6512,2025-05-24 10:47:20,822.84,Transferencia
90,38416,2025-05-24 10:45:43,687.02,Transferencia
91,32181,2025-05-24 10:39:27,533.17,PayPal
92,12473,2025-05-24 10:47:29,751.55,PayPal
93,14387,2025-05-24 10:42:24,339.69,Transferencia
94,37006,2025-05-24 10:35:38,730.38,PayPal
95,43502,2025-05-24 10:41:18,605.51,Efectivo
96,3861,2025-05-24 10:36:46,725.83,Transferencia
97,32240,2025-05-24 10:40:33,568.54,Efectivo
98,10119,2025-05-24 10:45:10,242.48,PayPal
99,26914,2025-05-24 10:39:49,473.15,PayPal
100,19978,2025-05-24 10:36:29,217.05,PayPal
101,19033,2025-05-24 10:45:21,720.93,Tarjeta
102,36957,2025-05-24 10:46:52,476.14,Transferencia
103,36737,2025-05-24 10:40:07,545.69,Efectivo
104,628,2025-05-24 10:37:05,777.92,Transferencia
105,41538,2025-05-24 10:42:37,343.86,Transferencia
106,35511,2025-05-24 10:45:50,700.79,Tarjeta
107,31864,2025-05-24 10:35:45,479.13,Transferencia
108,39511,2025-05-24 10:46:42,812.99,PayPal
109,20917,2025-05-24 10:39:42,696.08,Efectivo
110,44365,2025-05-24 10:40:18,475.49,PayPal
111,13569,2025-05-24 10:43:15,428.24,PayPal
112,37029,2025-05-24 10:35:36,743.61,Transferencia
113,11600,2025-05-24 10:40:34,240.67,PayPal
114,16047,2025-05-24 10:43:17,702.23,PayPal
115,32033,2025-05-24 10:47:07,363.59,Tarjeta
116,39384,2025-05-24 10:37:00,668.36,Efectivo
117,13075,2025-05-24 10:36:46,763.61,Efectivo
118,23670,2025-05-24 10:44:46,733.97,Efectivo
119,21975,2025-05-24 10:42:38,302.25,Transferencia
120,34932,2025-05-24 10:44:54,464.62,Efectivo
121,44139,2025-05-24 10:44:52,812.59,Transferencia
122,1310,2025-05-24 10:46:59,724.99,Efectivo
123,12262,2025-05-24 10:39:08,388.12,PayPal
124,2489,2025-05-24 10:46:28,393.34,Efectivo
125,43521,2025-05-24 10:46:33,631.15,Transferencia
126,37836,2025-05-24 10:44:27,236.19,Transferencia
127,19052,2025-05-24 10:47:09,614.05,PayPal
128,2333,2025-05-24 10:43:19,383.76,Efectivo
129,21993,2025-05-24 10:38:27,207.80,Efectivo
130,4896,2025-05-24 10:46:45,475.78,PayPal
131,7211,2025-05-24 10:35:48,443.17,PayPal
132,1636,2025-05-24 10:40:00,494.78,PayPal
133,20773,2025-05-24 10:40:13,420.30,Transferencia
134,44327,2025-05-24 10:46:38,505.86,PayPal
135,42489,2025-05-24 10:47:28,641.45,Tarjeta
136,32675,2025-05-24 10:39:34,213.05,Tarjeta
137,6572,2025-05-24 10:44:42,540.68,Transferencia
138,2230,2025-05-24 10:43:34,409.51,Efectivo
139,11553,2025-05-24 10:46:18,353.14,Efectivo
140,27954,2025-05-24 10:37:27,418.49,Tarjeta
141,24191,2025-05-24 10:45:03,751.22,Transferencia
142,4682,2025-05-24 10:38:25,367.87,Efectivo
143,44622,2025-05-24 10:41:16,376.86,Efectivo
144,12494,2025-05-24 10:37:03,422.33,Tarjeta
145,16648,2025-05-24 10:36:41,284.38,PayPal
146,14549,2025-05-24 10:43:34,561.22,PayPal
147,4303,2025-05-24 10:45:54,555.34,Tarjeta
148,33726,2025-05-24 10:43:41,766.91,PayPal
149,37044,2025-05-24 10:47:19,408.56,Transferencia
150,42878,2025-05-24 10:40:34,512.84,Efectivo
151,40212,2025-05-24 10:36:44,304.74,Efectivo
152,1820,2025-05-24 10:45:00,778.74,Transferencia
153,28870,2025-05-24 10:38:05,263.13,Transferencia
154,20982,2025-05-24 10:42:48,269.45,Tarjeta
155,9184,2025-05-24 10:46:20,234.49,Transferencia
156,8864,2025-05-24 10:37:35,721.47,Transferencia
157,33721,2025-05-24 10:41:54,522.03,Efectivo
158,33139,2025-05-24 10:43:36,499.38,Tarjeta
159,42455,2025-05-24 10:40:33,813.50,PayPal
160,31855,2025-05-24 10:37:01,895.53,Tarjeta
161,12825,2025-05-24 10:39:17,475.74,Tarjeta
162,15783,2025-05-24 10:41:52,477.07,Transferencia
163,42495,2025-05-24 10:40:11,334.07,Efectivo
164,41482,2025-05-24 10:45:08,673.44,Efectivo
165,12142,2025-05-24 10:46:20,867.95,Efectivo
166,9765,2025-05-24 10:37:20,632.35,PayPal
