fecha_asignacion,correlativo_aspirante,sexo,anio_nacimiento,materia,numero_de_fecha_de_evaluaci,anio_de_ingreso,aprobacion,carrera_objetivo,departamento_institucion_ed,municipio_institucion_,tipo_institucion_educativa
2022-09-27,cf24eeb747da491e97c0,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,ALTA VERAPAZ,COBAN,PUBLICO
2022-09-27,cf24eeb747da491e97c0,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,ALTA VERAPAZ,COBAN,PUBLICO
2022-09-27,219d7db266b7a99572b1,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,219d7db266b7a99572b1,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5901b2d532957c695af8,M,1993,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,SUCHITEPEQUEZ,MAZATENANGO,PUBLICO
2022-09-27,5901b2d532957c695af8,M,1993,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,SUCHITEPEQUEZ,MAZATENANGO,PUBLICO
2022-09-27,f4414d2b03a5194d4097,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,f4414d2b03a5194d4097,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,6f6e93f818bae70ad3ed,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,6f6e93f818bae70ad3ed,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5db26f5b9862c56072e4,M,1987,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5db26f5b9862c56072e4,M,1987,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,60f317c262da9a916185,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,fd9118d2ff503e5892bcf,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,fd9118d2ff503e5892bcf,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,c881d27bb3085e254d5c,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,c881d27bb3085e254d5c,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,e6bef4258280a42784f3,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,e6bef4258280a42784f3,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,9b980e398a83dd105c42,M,1997,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,9b980e398a83dd105c42,M,1997,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,940230c4bccea0277dee,M,1997,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,SACATEPEQUEZ,SUMPANGO,PUBLICO
2022-09-27,940230c4bccea0277dee,M,1997,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,SACATEPEQUEZ,SUMPANGO,PUBLICO
2022-09-27,3a1ee18060c07c764c6c,M,1993,MATEMATICA,1,2023,NO APROBADO,INGENIERIA QUIMICA,GUATEMALA,MIXCO,PRIVADO
2022-09-27,a076330c631c69c72e1b,M,1998,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,a076330c631c69c72e1b,M,1998,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,7b87398a2ab1bc8d00d6,M,1994,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,7b87398a2ab1bc8d00d6,M,1994,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,18f73398caba64ef3391,M,1996,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,AMATITLAN,PRIVADO
2022-09-27,18f73398caba64ef3391,M,1996,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,AMATITLAN,PRIVADO
2022-09-27,4fac55e54682ad6c0299,F,2000,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,4fac55e54682ad6c0299,F,2000,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,0e2a03319197dcf604cd,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,0e2a03319197dcf604cd,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,2028013b22bc8d83ce77,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,QUICHE,NEBAJ,PRIVADO
2022-09-27,2028013b22bc8d83ce77,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,QUICHE,NEBAJ,PRIVADO
2022-09-27,23a004aa8d810911cd53,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,23a004aa8d810911cd53,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,b82d6ed57e79547f1d05,F,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,b82d6ed57e79547f1d05,F,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,e7ce354da0d471c290c0,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,f37151ea0f67638edf1ff8,F,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,f37151ea0f67638edf1ff8,F,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,63358b4a64171d362122,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,SUCHITEPEQUEZ,MAZATENANGO,PUBLICO
2022-09-27,63358b4a64171d362122,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,SUCHITEPEQUEZ,MAZATENANGO,PUBLICO
2022-09-27,34c6c07cb81d9909a8f7,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,34c6c07cb81d9909a8f7,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,3f7f223f1bb746258fad4,M,1996,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,3f7f223f1bb746258fad4,M,1996,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,5e6a4a0efb881a32cdd3,F,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA QUIMICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5e6a4a0efb881a32cdd3,F,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA QUIMICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,8ae883857815a241d1f7,M,SIN REGISTRO,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,8ae883857815a241d1f7,M,SIN REGISTRO,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,4acb1dae98e7dc33818a,M,1975,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA,QUEZALTENANGO,QUETZALTENANGO,PRIVADO
2022-09-27,dc342db27c906037d963,M,1997,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
